"","Country","Unit","Period","Value"
"1","France","PC",2019 Q2,0.896592946802164
"2","France","PC",2019 Q3,0.503554502369649
"3","France","PC",2019 Q4,0.47155909224876
"4","France","PC",2020 Q1,-5.19213845702553
"5","France","PC",2020 Q2,-6.34282178217821
"6","France","PC",2020 Q3,15.7912124215395
"7","Germany","PC",2019 Q2,0.0906070673512726
"8","Germany","PC",2019 Q3,0.754375377187667
"9","Germany","PC",2019 Q4,0.269541778975738
"10","Germany","PC",2020 Q1,0.448028673835141
"11","Germany","PC",2020 Q2,0.654177817424918
"12","Germany","PC",2020 Q3,4.1063515509601
"13","Japan","PC",2019 Q2,-0.00348635721661855
"14","Japan","PC",2019 Q3,3.22529366372108
"15","Japan","PC",2019 Q4,-6.89494377444589
"16","Japan","PC",2020 Q1,1.80207960296069
"17","Japan","PC",2020 Q2,-7.28551102623456
"18","Japan","PC",2020 Q3,8.24794563419012
"19","Great Britain","PC",2019 Q2,0.22712524334848
"20","Great Britain","PC",2019 Q3,0.679831660731644
"21","Great Britain","PC",2019 Q4,-1.18971061093246
"22","Great Britain","PC",2020 Q1,-0.846078750406788
"23","Great Britain","PC",2020 Q2,-7.48276993764357
"24","Great Britain","PC",2020 Q3,15.3245831855268
"25","Brazil","PC",2019 Q2,-0.105820105820109
"26","Brazil","PC",2019 Q3,1.44774011299435
"27","Brazil","PC",2019 Q4,1.32265924121129
"28","Brazil","PC",2020 Q1,-1.95809000343526
"29","Brazil","PC",2020 Q2,-8.61948142957254
"30","Brazil","PC",2020 Q3,16.8711656441718
"31","France","PC",2019 Q2,2.95821896919793
"32","France","PC",2019 Q3,2.72479564032697
"33","France","PC",2019 Q4,2.52631578947368
"34","France","PC",2020 Q1,-3.40705319784818
"35","France","PC",2020 Q2,-10.3376777251185
"36","France","PC",2020 Q3,3.30091364574122
"37","Germany","PC",2019 Q2,2.18933086648166
"38","Germany","PC",2019 Q3,3.56699751861041
"39","Germany","PC",2019 Q4,2.85714285714285
"40","Germany","PC",2020 Q1,1.57052250075507
"41","Germany","PC",2020 Q2,2.14242607121303
"42","Germany","PC",2020 Q3,5.54058101227912
"43","Japan","PC",2019 Q2,-0.0445251530898576
"44","Japan","PC",2019 Q3,2.75510652020492
"45","Japan","PC",2019 Q4,-4.69092133020693
"46","Japan","PC",2020 Q1,-2.1635012613301
"47","Japan","PC",2020 Q2,-9.28822762819533
"48","Japan","PC",2020 Q3,-4.87444834913369
"49","Great Britain","PC",2019 Q2,3.27649615513206
"50","Great Britain","PC",2019 Q3,2.60640052787859
"51","Great Britain","PC",2019 Q4,1.05228543242355
"52","Great Britain","PC",2020 Q1,-1.13562621674236
"53","Great Britain","PC",2020 Q2,-8.7406927808352
"54","Great Britain","PC",2020 Q3,4.5337620578778
"55","Brazil","PC",2019 Q2,0.24778761061947
"56","Brazil","PC",2019 Q3,2.24199288256228
"57","Brazil","PC",2019 Q4,3.26356864136219
"58","Brazil","PC",2020 Q1,0.67019400352733
"59","Brazil","PC",2020 Q2,-7.90960451977402
"60","Brazil","PC",2020 Q3,6.0911938739993
"61","OECD","PC",2019 Q2,1.68918444773525
"62","OECD","PC",2019 Q3,2.33381031186936
"63","OECD","PC",2019 Q4,1.38440075259788
"64","OECD","PC",2020 Q1,-0.675899715493772
"65","OECD","PC",2020 Q2,-6.70689624958132
"66","OECD","PC",2020 Q3,2.4576220816738
"67","OECD","PC",2019 Q2,0.725684926981656
"68","OECD","PC",2019 Q3,0.710691503158146
"69","OECD","PC",2019 Q4,-0.518451012716831
"70","OECD","PC",2020 Q1,-1.57706907857425
"71","OECD","PC",2020 Q2,-5.390416351038
"72","OECD","PC",2020 Q3,10.6038662538152
