"","Period","measure","value"
"1",Nov 2019,"Year to Year % Change",-5.28
"2",Dec 2019,"Year to Year % Change",4.03
"3",Jan 2020,"Year to Year % Change",-5.9
"4",Feb 2020,"Year to Year % Change",-1.25
"5",Mar 2020,"Year to Year % Change",-30.1
"6",Apr 2020,"Year to Year % Change",-98.65
"7",May 2020,"Year to Year % Change",-68.56
"8",Jun 2020,"Year to Year % Change",-31.87
"9",Jul 2020,"Year to Year % Change",-30.18
"10",Aug 2020,"Year to Year % Change",-26.88
"11",Sep 2020,"Year to Year % Change",-25.03
"12",Oct 2020,"Year to Year % Change",-25.19
"13",Nov 2020,"Year to Year % Change",-12.55
