"","Period","measure","value"
"1",Nov 2019,"Year to Year % Change",0.65
"2",Dec 2019,"Year to Year % Change",-0.23
"3",Jan 2020,"Year to Year % Change",1.64
"4",Feb 2020,"Year to Year % Change",-1.74
"5",Mar 2020,"Year to Year % Change",3.37
"6",Apr 2020,"Year to Year % Change",-47.96
"7",May 2020,"Year to Year % Change",-13.37
"8",Jun 2020,"Year to Year % Change",-8.1
"9",Jul 2020,"Year to Year % Change",-7.84
"10",Aug 2020,"Year to Year % Change",-3.3
"11",Sep 2020,"Year to Year % Change",-2.99
"12",Oct 2020,"Year to Year % Change",-3.29
