"","Name","Description","Unit","Period","Value"
"1","Gdp At Market Prices","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2019 Q2,3.3
"2","Gdp At Market Prices","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2019 Q3,-0.8
"3","Gdp At Market Prices","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2019 Q4,-1.4
"4","Gdp At Market Prices","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2020 Q1,-1.7
"5","Gdp At Market Prices","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2020 Q2,-51.7
"6","Gdp At Market Prices","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2020 Q3,66.1
