"","Name","Description","Unit","Period","Value"
"1","Gdp At Market Prices","Constant 2010 Prices, Actual Figures","Percentage Change",2019 Q2,0.9
"2","Gdp At Market Prices","Constant 2010 Prices, Actual Figures","Percentage Change",2019 Q3,0.1
"3","Gdp At Market Prices","Constant 2010 Prices, Actual Figures","Percentage Change",2019 Q4,-0.5
"4","Gdp At Market Prices","Constant 2010 Prices, Actual Figures","Percentage Change",2020 Q1,0.1
"5","Gdp At Market Prices","Constant 2010 Prices, Actual Figures","Percentage Change",2020 Q2,-17.5
"6","Gdp At Market Prices","Constant 2010 Prices, Actual Figures","Percentage Change",2020 Q3,-6
