Country;Unit;Period;Value
France;PC;2019 Q2;0.295410269993258
France;PC;2019 Q3;0.138151726036354
France;PC;2019 Q4;-0.178164000219909
France;PC;2020 Q1;-5.89438065716484
France;PC;2020 Q2;-13.7891302280326
France;PC;2020 Q3;18.667076818635
Germany;PC;2019 Q2;-0.503593061660945
Germany;PC;2019 Q3;0.309311451763778
Germany;PC;2019 Q4;-0.0186902521436554
Germany;PC;2020 Q1;-1.89719348849871
Germany;PC;2020 Q2;-9.79328107686389
Germany;PC;2020 Q3;8.480305474188
Japan;PC;2019 Q2;0.077576527917786
Japan;PC;2019 Q3;0.179240980835027
Japan;PC;2019 Q4;-1.8617153523726
Japan;PC;2020 Q1;-0.538012646641676
Japan;PC;2020 Q2;-8.26177742798216
Japan;PC;2020 Q3;5.29547088396872
Great Britain;PC;2019 Q2;0.138397435305217
Great Britain;PC;2019 Q3;0.49728385220612
Great Britain;PC;2019 Q4;0.0172591386221147
Great Britain;PC;2020 Q1;-3.01909375785936
Great Britain;PC;2020 Q2;-18.7526855667469
Great Britain;PC;2020 Q3;16.0034854002269
United States;PC;2019 Q2;0.370716166833257
United States;PC;2019 Q3;0.636914747006643
United States;PC;2019 Q4;0.586231850138638
United States;PC;2020 Q1;-1.26265460521651
United States;PC;2020 Q2;-8.98611676869965
United States;PC;2020 Q3;7.4787410913942
Brazil;PC;2019 Q2;0.196867523444487
Brazil;PC;2019 Q3;-0.156076473203377
Brazil;PC;2019 Q4;0.220281720089261
Brazil;PC;2020 Q1;-1.54587916819906
Brazil;PC;2020 Q2;-9.59981780606082
Brazil;PC;2020 Q3;7.7077890517621
India;PC;2019 Q2;0.905479988950468
India;PC;2019 Q3;0.836469227585949
India;PC;2019 Q4;0.860955203202852
India;PC;2020 Q1;0.658939586878149
India;PC;2020 Q2;-25.2480979854535
India;PC;2020 Q3;21.9401480359037
Russia;PC;2019 Q2;2.37118293044742
Russia;PC;2019 Q3;-0.878903265941295
Russia;PC;2019 Q4;-0.705263375927254
Russia;PC;2020 Q1;-0.87954645900614
Russia;PC;2020 Q2;-3.23763644760209
Russia;PC;2020 Q3;1.5021019430064
France;PC;2019 Q2;1.82310918334099
France;PC;2019 Q3;1.59004988323343
OECD;PC;2019 Q2;0.401891526551506
OECD;PC;2019 Q3;0.416742806692216
OECD;PC;2019 Q4;0.191080691261525
OECD;PC;2020 Q1;-1.87392525748406
OECD;PC;2020 Q2;-10.4884720647199
OECD;PC;2020 Q3;9.22666309254025
