"","Country","Unit","Period","Value"
"1","France","PC",2019 Q2,0.179096840220035
"2","France","PC",2019 Q3,-1.04392797854681
"3","France","PC",2019 Q4,-0.767816240281308
"4","France","PC",2020 Q1,-5.74140901849866
"5","France","PC",2020 Q2,-17.0558410650847
"6","France","PC",2020 Q3,20.0723552894212
"7","Germany","PC",2019 Q2,-1.92307692307691
"8","Germany","PC",2019 Q3,-0.816993464052328
"9","Germany","PC",2019 Q4,-1.71334431630971
"10","Germany","PC",2020 Q1,-1.97787462286289
"11","Germany","PC",2020 Q2,-18.7756497948016
"12","Germany","PC",2020 Q3,14.778947368421
"13","Japan","PC",2019 Q2,0.064977257959751
"14","Japan","PC",2019 Q3,-1.03896103896105
"15","Japan","PC",2019 Q4,-3.60892388451444
"16","Japan","PC",2020 Q1,0.408441116405724
"17","Japan","PC",2020 Q2,-15.8983050847458
"18","Japan","PC",2020 Q3,8.30310358726322
"19","United States","PC",2019 Q2,-0.567793499385339
"20","United States","PC",2019 Q3,0.280739167846852
"21","United States","PC",2019 Q4,0.0933278930124252
"22","United States","PC",2020 Q1,-1.73866089070132
"23","United States","PC",2020 Q2,-12.964020170698
"24","United States","PC",2020 Q3,9.25770731585855
"25","Brazil","PC",2019 Q2,-0.419687142312104
"26","Brazil","PC",2019 Q3,-0.727969348659
"27","Brazil","PC",2019 Q4,1.11925897336935
"28","Brazil","PC",2020 Q1,-2.48091603053434
"29","Brazil","PC",2020 Q2,-17.4951076320939
"30","Brazil","PC",2020 Q3,22.2011385199241
"31","France","PC",2019 Q2,1.76076928074851
"32","France","PC",2019 Q3,-0.161046155828262
"33","France","PC",2019 Q4,-0.822209324821044
"34","France","PC",2020 Q1,-7.27580913393886
"35","France","PC",2020 Q2,-23.2281956327417
"36","France","PC",2020 Q3,-6.84582378939896
"37","Germany","PC",2019 Q2,-4.79153702551335
"38","Germany","PC",2019 Q3,-4.19823232323234
"39","Germany","PC",2019 Q4,-5.06047103755572
"40","Germany","PC",2020 Q1,-6.28205128205129
"41","Germany","PC",2020 Q2,-22.3856209150327
"42","Germany","PC",2020 Q3,-10.1812191103789
"43","Japan","PC",2019 Q2,-1.43999999999998
"44","Japan","PC",2019 Q3,-1.89893788220146
"45","Japan","PC",2019 Q4,-6.37348629700444
"46","Japan","PC",2020 Q1,-4.15854450942168
"47","Japan","PC",2020 Q2,-19.448051948052
"48","Japan","PC",2020 Q3,-11.8438320209974
"49","Great Britain","PC",2019 Q2,-1.29913391072618
"50","Great Britain","PC",2019 Q3,-2.09163346613546
"51","Great Britain","PC",2019 Q4,-1.14362596703665
"52","Great Britain","PC",2020 Q1,-4.19301164725458
"53","Great Britain","PC",2020 Q2,-18.6972662841714
"54","Great Britain","PC",2020 Q3,-6.64632078670737
"55","United States","PC",2019 Q2,1.15385957797347
"56","United States","PC",2019 Q3,0.170961548139952
"57","United States","PC",2019 Q4,-0.681713532268922
"58","United States","PC",2020 Q1,-1.93085009322551
"59","United States","PC",2020 Q2,-14.1571443141005
"60","United States","PC",2020 Q3,-6.47263193793164
"61","Brazil","PC",2019 Q2,0.268920476373414
"62","Brazil","PC",2019 Q3,-2.18950547376368
"63","Brazil","PC",2019 Q4,-0.493733383972664
"64","Brazil","PC",2020 Q1,-2.51812285387257
"65","Brazil","PC",2020 Q2,-19.2337164750958
"66","Brazil","PC",2020 Q3,-0.578927055191043
"67","OECD","PC",2019 Q2,-0.134263252116898
"68","OECD","PC",2019 Q3,-0.540478464774842
"69","OECD","PC",2019 Q4,-1.13931719080036
"70","OECD","PC",2020 Q1,-2.39438393074077
"71","OECD","PC",2020 Q2,-15.9486506764369
"72","OECD","PC",2020 Q3,-5.5029481285425
"73","OECD","PC",2019 Q2,-0.0898900809251358
"74","OECD","PC",2019 Q3,-0.128321616388579
"75","OECD","PC",2019 Q4,-0.622483607757396
"76","OECD","PC",2020 Q1,-1.56832330769867
"77","OECD","PC",2020 Q2,-13.9641765715103
"78","OECD","PC",2020 Q3,12.2834939433852
