"","Period","province","value"
"1",Nov 2019,"Free State",3.59
"2",Nov 2019,"Gauteng",3.37
"3",Nov 2019,"Eastern Cape",3.21
"4",Nov 2019,"KwaZulu Natal",3.41
"5",Nov 2019,"Limpopo",4.08
"6",Nov 2019,"Mpumalanga",3.51
"7",Nov 2019,"North West",3.26
"8",Nov 2019,"Northen Cape",3.52
"9",Nov 2019,"Western Cape",4.06
"10",Dec 2019,"Free State",3.77
"11",Dec 2019,"Gauteng",3.92
"12",Dec 2019,"Eastern Cape",3.68
"13",Dec 2019,"KwaZulu Natal",3.7
"14",Dec 2019,"Limpopo",4.73
"15",Dec 2019,"Mpumalanga",3.89
"16",Dec 2019,"North West",3.93
"17",Dec 2019,"Northen Cape",3.98
"18",Dec 2019,"Western Cape",4.42
"19",Jan 2020,"Free State",4.04
"20",Jan 2020,"Gauteng",4.39
"21",Jan 2020,"Eastern Cape",3.96
"22",Jan 2020,"KwaZulu Natal",3.97
"23",Jan 2020,"Limpopo",4.73
"24",Jan 2020,"Mpumalanga",4.16
"25",Jan 2020,"North West",4.11
"26",Jan 2020,"Northen Cape",4.44
"27",Jan 2020,"Western Cape",5.06
"28",Feb 2020,"Free State",4.1
"29",Feb 2020,"Gauteng",4.44
"30",Feb 2020,"Eastern Cape",3.92
"31",Feb 2020,"KwaZulu Natal",4.32
"32",Feb 2020,"Limpopo",4.6
"33",Feb 2020,"Mpumalanga",4.13
"34",Feb 2020,"North West",4.17
"35",Feb 2020,"Northen Cape",4.68
"36",Feb 2020,"Western Cape",5.28
"37",Mar 2020,"Free State",3.71
"38",Mar 2020,"Gauteng",4.05
"39",Mar 2020,"Eastern Cape",3.72
"40",Mar 2020,"KwaZulu Natal",4.02
"41",Mar 2020,"Limpopo",3.64
"42",Mar 2020,"Mpumalanga",3.83
"43",Mar 2020,"North West",3.77
"44",Mar 2020,"Northen Cape",4.1
"45",Mar 2020,"Western Cape",4.78
"46",Apr 2020,"Free State",2.7
"47",Apr 2020,"Gauteng",2.78
"48",Apr 2020,"Eastern Cape",2.43
"49",Apr 2020,"KwaZulu Natal",3
"50",Apr 2020,"Limpopo",2.81
"51",Apr 2020,"Mpumalanga",2.72
"52",Apr 2020,"North West",2.56
"53",Apr 2020,"Northen Cape",3.08
"54",Apr 2020,"Western Cape",3.61
"55",May 2020,"Free State",2.06
"56",May 2020,"Gauteng",1.69
"57",May 2020,"Eastern Cape",1.89
"58",May 2020,"KwaZulu Natal",2.17
"59",May 2020,"Limpopo",1.62
"60",May 2020,"Mpumalanga",1.9
"61",May 2020,"North West",1.73
"62",May 2020,"Northen Cape",2.45
"63",May 2020,"Western Cape",2.64
"64",Jun 2020,"Free State",2.24
"65",Jun 2020,"Gauteng",1.87
"66",Jun 2020,"Eastern Cape",2.16
"67",Jun 2020,"KwaZulu Natal",2.35
"68",Jun 2020,"Limpopo",2.07
"69",Jun 2020,"Mpumalanga",2.17
"70",Jun 2020,"North West",1.91
"71",Jun 2020,"Northen Cape",2.52
"72",Jun 2020,"Western Cape",2.8
"73",Jul 2020,"Free State",3.13
"74",Jul 2020,"Gauteng",2.92
"75",Jul 2020,"Eastern Cape",3.22
"76",Jul 2020,"KwaZulu Natal",2.96
"77",Jul 2020,"Limpopo",3.13
"78",Jul 2020,"Mpumalanga",2.97
"79",Jul 2020,"North West",3.08
"80",Jul 2020,"Northen Cape",3.14
"81",Jul 2020,"Western Cape",3.66
"82",Aug 2020,"Free State",3.03
"83",Aug 2020,"Gauteng",2.73
"84",Aug 2020,"Eastern Cape",3.22
"85",Aug 2020,"KwaZulu Natal",2.87
"86",Aug 2020,"Limpopo",3.13
"87",Aug 2020,"Mpumalanga",2.88
"88",Aug 2020,"North West",2.98
"89",Aug 2020,"Northen Cape",3.14
"90",Aug 2020,"Western Cape",3.84
"91",Sep 2020,"Free State",2.94
"92",Sep 2020,"Gauteng",2.64
"93",Sep 2020,"Eastern Cape",3.12
"94",Sep 2020,"KwaZulu Natal",2.86
"95",Sep 2020,"Limpopo",2.94
"96",Sep 2020,"Mpumalanga",2.6
"97",Sep 2020,"North West",2.98
"98",Sep 2020,"Northen Cape",3.13
"99",Sep 2020,"Western Cape",3.65
"100",Oct 2020,"Free State",3.11
"101",Oct 2020,"Gauteng",2.9
"102",Oct 2020,"Eastern Cape",3.48
"103",Oct 2020,"KwaZulu Natal",3.12
"104",Oct 2020,"Limpopo",3.21
"105",Oct 2020,"Mpumalanga",2.86
"106",Oct 2020,"North West",3.25
"107",Oct 2020,"Northen Cape",3.49
"108",Oct 2020,"Western Cape",3.91
"109",Nov 2020,"Free State",3.11
"110",Nov 2020,"Gauteng",2.9
"111",Nov 2020,"Eastern Cape",3.29
"112",Nov 2020,"KwaZulu Natal",3.12
"113",Nov 2020,"Limpopo",3.39
"114",Nov 2020,"Mpumalanga",2.68
"115",Nov 2020,"North West",3.15
"116",Nov 2020,"Northen Cape",3.57
"117",Nov 2020,"Western Cape",3.73
